variable,Estimate,StdError,z_val,pval
(Intercept),-0.51,0.12,-4.16,0.000384
risingBefore,0.66,0.08,8.78,1.97e-17
cannotSeeAfter,-0.7,0.08,-8.29,1.4e-15
downOverall,0.16,0.07,2.12,0.408
expExec,-0.14,0.1,-1.43,1.0
tpChange,0.32,0.1,3.32,0.0106
binPosemo,-0.49,0.11,-4.5,7.97e-5
binNegemo,-0.46,0.12,-3.78,0.0019
expExec & binPosemo,-1.15,0.25,-4.53,6.98e-5
expExec & binNegemo,-1.21,0.29,-4.18,0.000346
risingBefore & binPosemo,0.35,0.15,2.44,0.177
risingBefore & binNegemo,0.35,0.16,2.16,0.373
