subj,graphid,tp,q,pt
6,Q6 A,1,Q6,A
6,Q6 B,0,Q6,B
6,Q6 C,1,Q6,C
6,Q7 A,1,Q7,A
6,Q7 B,0,Q7,B
6,Q8 A,1,Q8,A
6,Q8 B,1,Q8,B
6,Q9 A,1,Q9,A
6,Q10 A,1,Q10,A
6,Q10 B,0,Q10,B
6,Q10 C,1,Q10,C
6,Q10 D,0,Q10,D
6,Q11 A,0,Q11,A
6,Q11 B,0,Q11,B
6,Q11 C,0,Q11,C
6,Q11 D,0,Q11,D
6,Q12 A,0,Q12,A
6,Q13 A,1,Q13,A
7,Q2 A,0,Q2,A
7,Q2 B,0,Q2,B
7,Q2 C,0,Q2,C
7,Q3 A,0,Q3,A
7,Q3 B,0,Q3,B
7,Q3 C,0,Q3,C
7,Q3 D,0,Q3,D
7,Q3 E,0,Q3,E
7,Q4 A,0,Q4,A
7,Q4 B,0,Q4,B
7,Q5 A,0,Q5,A
7,Q5 B,1,Q5,B
7,Q5 C,0,Q5,C
7,Q5 D,0,Q5,D
7,Q6 A,0,Q6,A
7,Q6 B,1,Q6,B
7,Q6 C,0,Q6,C
7,Q7 A,0,Q7,A
7,Q7 B,0,Q7,B
7,Q8 A,0,Q8,A
7,Q8 B,0,Q8,B
7,Q9 A,0,Q9,A
7,Q10 A,0,Q10,A
7,Q10 B,0,Q10,B
7,Q10 C,0,Q10,C
7,Q10 D,0,Q10,D
7,Q11 A,0,Q11,A
7,Q11 B,1,Q11,B
7,Q11 C,0,Q11,C
7,Q11 D,0,Q11,D
7,Q12 A,1,Q12,A
7,Q13 A,0,Q13,A
8,Q2 A,0,Q2,A
8,Q2 B,0,Q2,B
8,Q2 C,0,Q2,C
8,Q3 A,0,Q3,A
8,Q3 B,0,Q3,B
8,Q3 C,0,Q3,C
8,Q3 D,1,Q3,D
8,Q3 E,0,Q3,E
8,Q4 A,1,Q4,A
8,Q4 B,1,Q4,B
8,Q5 A,0,Q5,A
8,Q5 B,1,Q5,B
8,Q5 C,1,Q5,C
8,Q5 D,1,Q5,D
8,Q6 A,0,Q6,A
8,Q6 B,1,Q6,B
8,Q6 C,0,Q6,C
8,Q7 A,0,Q7,A
8,Q7 B,1,Q7,B
8,Q8 A,0,Q8,A
8,Q8 B,1,Q8,B
8,Q9 A,0,Q9,A
8,Q10 A,0,Q10,A
8,Q10 B,1,Q10,B
8,Q10 C,0,Q10,C
8,Q10 D,1,Q10,D
8,Q11 A,1,Q11,A
8,Q11 B,1,Q11,B
8,Q11 C,1,Q11,C
8,Q11 D,1,Q11,D
8,Q12 A,0,Q12,A
8,Q13 A,0,Q13,A
9,Q2 A,0,Q2,A
9,Q2 B,0,Q2,B
9,Q2 C,0,Q2,C
9,Q3 A,0,Q3,A
9,Q3 B,0,Q3,B
9,Q3 C,0,Q3,C
9,Q3 D,0,Q3,D
9,Q3 E,0,Q3,E
9,Q4 A,0,Q4,A
9,Q4 B,0,Q4,B
9,Q5 A,0,Q5,A
9,Q5 B,1,Q5,B
9,Q5 C,0,Q5,C
9,Q5 D,1,Q5,D
9,Q6 A,0,Q6,A
9,Q6 B,1,Q6,B
9,Q6 C,0,Q6,C
9,Q7 A,0,Q7,A
9,Q7 B,1,Q7,B
9,Q8 A,0,Q8,A
9,Q8 B,0,Q8,B
9,Q9 A,0,Q9,A
9,Q10 A,0,Q10,A
9,Q10 B,1,Q10,B
9,Q10 C,0,Q10,C
9,Q10 D,1,Q10,D
9,Q11 A,1,Q11,A
9,Q11 B,1,Q11,B
9,Q11 C,1,Q11,C
9,Q11 D,1,Q11,D
9,Q12 A,0,Q12,A
9,Q13 A,0,Q13,A
10,Q2 A,0,Q2,A
10,Q2 B,1,Q2,B
10,Q2 C,0,Q2,C
10,Q3 A,0,Q3,A
10,Q3 B,0,Q3,B
10,Q3 C,0,Q3,C
10,Q3 D,0,Q3,D
10,Q3 E,0,Q3,E
10,Q4 A,0,Q4,A
10,Q4 B,0,Q4,B
10,Q5 A,0,Q5,A
10,Q5 B,0,Q5,B
10,Q5 C,1,Q5,C
10,Q5 D,0,Q5,D
10,Q6 A,1,Q6,A
10,Q6 B,0,Q6,B
10,Q6 C,0,Q6,C
10,Q7 A,1,Q7,A
10,Q7 B,0,Q7,B
10,Q8 A,1,Q8,A
10,Q8 B,0,Q8,B
10,Q9 A,1,Q9,A
10,Q10 A,1,Q10,A
10,Q10 B,0,Q10,B
10,Q10 C,1,Q10,C
