subj,uniBrown,expExec,tpChange,tpRate,tpDir,tpNoReturn,tellMgr,impChange,impRise,impFall,impPeriodic,numOtherTP,liwcPosemo,liwcNegemo,liwcCause,liwcFocusPre,liwcFocusFut,liwcRelativ,liwcTime
150,1,1,1,1,0,0,1,70,80,80,69,5,0,0,6.35,11.11,0,20.63,4.76
151,1,1,1,0,0,0,1,,50,50,,2,0,0,9.09,0,0,36.36,9.09
152,1,1,1,0,0,0,1,50,50,50,50,2,0,0,0,0,0,20,0
153,1,0,1,1,0,0,1,19,100,100,22,0,5,0,5,0,0,35,10
154,1,0,1,1,0,0,1,100,77,77,66,3,0,5,10,10,0,30,0
155,1,0,1,0,0,0,1,89,40,40,100,0,0,0,25,0,0,12.5,0
156,1,0,1,0,1,0,1,100,0,,50,1,0,0,12.5,0,0,37.5,0
157,1,0,1,0,1,0,0,100,0,,,1,0,0,10.53,0,0,21.05,0
158,1,0,1,0,1,0,1,57,89,90,31,0,0,3.57,0,14.29,0,25,3.57
159,1,0,1,0,0,0,,70,,,0,0,7.14,0,7.14,14.29,0,35.71,0
160,1,0,1,0,0,0,1,71,100,100,,7,0,11.11,22.22,22.22,0,22.22,0
161,1,0,1,0,0,0,1,84,33,51,35,0,0,0,7.69,0,0,30.77,0
162,1,0,1,1,0,0,1,0,,,0,0,3.33,0,6.67,10,0,30,3.33
163,1,0,1,0,0,0,0,10,50,50,10,0,4.35,0,8.7,8.7,0,21.74,21.74
164,1,0,1,0,0,0,,20,20,70,20,0,0,0,12.5,12.5,0,37.5,25
165,1,0,1,1,1,0,1,,100,5,2,7,0,0,14.29,9.52,0,19.05,0
166,1,0,1,0,0,0,1,86,51,45,,2,0,0,10,0,0,50,10
167,1,0,1,0,1,0,1,,100,100,,7,0,0,0,0,0,25,0
168,1,0,1,0,0,0,,72,,92,35,1,0,0,0,17.65,0,35.29,11.76
169,1,0,0,0,0,1,1,90,63,64,43,0,0,0,5.88,11.76,5.88,23.53,0
170,1,0,1,0,1,0,,29,70,70,16,0,0,0,12.5,0,0,50,0
171,1,0,1,0,0,0,1,54,82,83,85,0,0,0,7.69,15.38,0,23.08,0
172,1,0,1,0,1,0,1,60,7,82,49,0,18.18,0,9.09,18.18,0,0,0
173,1,0,1,0,1,0,,92,94,97,0,1,10,0,10,0,0,30,20
174,1,0,1,0,0,1,,35,91,91,11,1,0,3.7,3.7,11.11,3.7,25.93,3.7
175,1,0,1,1,1,0,,82,30,31,83,0,0,0,6.67,6.67,0,46.67,26.67
176,1,0,1,0,0,0,1,,92,89,,12,0,0,8.33,8.33,0,25,0
177,1,0,1,0,0,0,,60,100,100,,1,33.33,0,0,0,0,0,0
178,1,0,1,0,0,0,0,48,100,100,47,2,0,0,23.08,7.69,0,30.77,0
