subj,graphid,tp,q,pt,risingBefore,cannotSeeAfter,downOverall,bellOverall,complexOverall,uniBrown,expExec,tpChange,tpRate,tpDir,tpNoReturn,tellMgr,impChange,impRise,impFall,impPeriodic,numOtherTP,liwcPosemo,liwcNegemo,liwcCause,liwcFocusPre,liwcFocusFut,liwcRelativ,liwcTime
2,Q3 B,1,Q3,B,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q3 C,1,Q3,C,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q3 D,1,Q3,D,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q3 E,1,Q3,E,1,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q4 A,1,Q4,A,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q4 B,1,Q4,B,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q5 A,0,Q5,A,1,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q5 B,1,Q5,B,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q5 C,1,Q5,C,1,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q5 D,0,Q5,D,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q6 A,1,Q6,A,1,0,0,0,,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q6 B,1,Q6,B,0,0,0,0,,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q6 C,1,Q6,C,1,1,0,0,,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q7 A,1,Q7,A,1,0,1,0,0,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q7 B,1,Q7,B,0,1,1,0,0,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q8 A,0,Q8,A,1,0,0,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q8 B,1,Q8,B,1,1,0,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q9 A,0,Q9,A,1,0,0,1,0,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q10 A,0,Q10,A,1,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q10 B,1,Q10,B,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q10 C,0,Q10,C,1,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q10 D,1,Q10,D,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q11 A,1,Q11,A,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q11 B,0,Q11,B,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q11 C,1,Q11,C,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q11 D,1,Q11,D,0,0,1,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q12 A,1,Q12,A,1,1,0,0,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
2,Q13 A,1,Q13,A,1,0,0,1,1,0,0,1,1,0,0,1,47,100,100,18,2,0,0,33.33,8.33,0,50,8.33
3,Q2 A,0,Q2,A,1,0,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q2 B,0,Q2,B,1,0,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q2 C,1,Q2,C,1,1,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q3 A,1,Q3,A,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q3 B,1,Q3,B,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q3 C,1,Q3,C,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q3 D,1,Q3,D,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q3 E,1,Q3,E,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q4 A,1,Q4,A,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q4 B,1,Q4,B,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q5 A,0,Q5,A,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q5 B,1,Q5,B,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q5 C,1,Q5,C,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q5 D,1,Q5,D,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q6 A,1,Q6,A,1,0,0,0,,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q6 B,1,Q6,B,0,0,0,0,,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q6 C,1,Q6,C,1,1,0,0,,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q7 A,1,Q7,A,1,0,1,0,0,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q7 B,0,Q7,B,0,1,1,0,0,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q8 A,1,Q8,A,1,0,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q8 B,1,Q8,B,1,1,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q9 A,0,Q9,A,1,0,0,1,0,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q10 A,1,Q10,A,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q10 B,1,Q10,B,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q10 C,1,Q10,C,1,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q10 D,1,Q10,D,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q11 A,1,Q11,A,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q11 B,0,Q11,B,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q11 C,1,Q11,C,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q11 D,1,Q11,D,0,0,1,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q12 A,1,Q12,A,1,1,0,0,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
3,Q13 A,1,Q13,A,1,0,0,1,1,0,0,1,0,1,0,1,,100,100,100,0,0,0,11.11,0,0,33.33,22.22
4,Q2 A,0,Q2,A,1,0,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q2 B,0,Q2,B,1,0,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q2 C,0,Q2,C,1,1,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q3 A,1,Q3,A,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q3 B,0,Q3,B,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q3 C,0,Q3,C,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q3 D,0,Q3,D,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q3 E,1,Q3,E,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q4 A,0,Q4,A,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q4 B,0,Q4,B,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q5 A,0,Q5,A,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q5 B,0,Q5,B,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q5 C,1,Q5,C,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q5 D,0,Q5,D,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q6 A,1,Q6,A,1,0,0,0,,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q6 B,0,Q6,B,0,0,0,0,,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q6 C,0,Q6,C,1,1,0,0,,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q7 A,1,Q7,A,1,0,1,0,0,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q7 B,0,Q7,B,0,1,1,0,0,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q8 A,0,Q8,A,1,0,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q8 B,0,Q8,B,1,1,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q9 A,1,Q9,A,1,0,0,1,0,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q10 A,1,Q10,A,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q10 B,0,Q10,B,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q10 C,1,Q10,C,1,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q10 D,0,Q10,D,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q11 A,0,Q11,A,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q11 B,0,Q11,B,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q11 C,0,Q11,C,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q11 D,0,Q11,D,0,0,1,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q12 A,0,Q12,A,1,1,0,0,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
4,Q13 A,1,Q13,A,1,0,0,1,1,0,0,1,0,1,0,1,60,90,90,11,2,9.09,0,0,9.09,0,31.82,9.09
5,Q2 A,1,Q2,A,1,0,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q2 B,1,Q2,B,1,0,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q2 C,0,Q2,C,1,1,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q3 A,1,Q3,A,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q3 B,1,Q3,B,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q3 C,1,Q3,C,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q3 D,1,Q3,D,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q3 E,1,Q3,E,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q4 A,1,Q4,A,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q4 B,1,Q4,B,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q5 A,0,Q5,A,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q5 B,1,Q5,B,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q5 C,1,Q5,C,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q5 D,1,Q5,D,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q6 A,1,Q6,A,1,0,0,0,,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q6 B,1,Q6,B,0,0,0,0,,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q6 C,0,Q6,C,1,1,0,0,,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q7 A,1,Q7,A,1,0,1,0,0,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q7 B,0,Q7,B,0,1,1,0,0,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q8 A,1,Q8,A,1,0,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q8 B,0,Q8,B,1,1,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q9 A,0,Q9,A,1,0,0,1,0,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q10 A,0,Q10,A,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q10 B,1,Q10,B,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q10 C,1,Q10,C,1,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q10 D,1,Q10,D,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q11 A,1,Q11,A,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q11 B,1,Q11,B,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q11 C,1,Q11,C,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q11 D,1,Q11,D,0,0,1,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q12 A,0,Q12,A,1,1,0,0,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
5,Q13 A,1,Q13,A,1,0,0,1,1,0,0,1,0,0,0,1,100,10,10,0,0,0,25,0,0,0,75,0
6,Q2 A,0,Q2,A,1,0,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q2 B,1,Q2,B,1,0,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q2 C,0,Q2,C,1,1,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q3 A,1,Q3,A,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q3 B,0,Q3,B,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q3 C,0,Q3,C,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q3 D,0,Q3,D,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q3 E,1,Q3,E,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q4 A,0,Q4,A,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q4 B,0,Q4,B,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q5 A,1,Q5,A,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q5 B,0,Q5,B,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q5 C,1,Q5,C,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q5 D,0,Q5,D,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q6 A,1,Q6,A,1,0,0,0,,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q6 B,0,Q6,B,0,0,0,0,,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q6 C,1,Q6,C,1,1,0,0,,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q7 A,1,Q7,A,1,0,1,0,0,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q7 B,0,Q7,B,0,1,1,0,0,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q8 A,1,Q8,A,1,0,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q8 B,1,Q8,B,1,1,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q9 A,1,Q9,A,1,0,0,1,0,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q10 A,1,Q10,A,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q10 B,0,Q10,B,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q10 C,1,Q10,C,1,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q10 D,0,Q10,D,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q11 A,0,Q11,A,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q11 B,0,Q11,B,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q11 C,0,Q11,C,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q11 D,0,Q11,D,0,0,1,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q12 A,0,Q12,A,1,1,0,0,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
6,Q13 A,1,Q13,A,1,0,0,1,1,0,0,1,1,0,0,1,81,72,72,71,3,0,6.25,6.25,6.25,6.25,31.25,6.25
7,Q2 A,0,Q2,A,1,0,0,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
7,Q2 B,0,Q2,B,1,0,0,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
7,Q2 C,0,Q2,C,1,1,0,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
7,Q3 A,0,Q3,A,1,0,1,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
7,Q3 B,0,Q3,B,0,0,1,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
7,Q3 C,0,Q3,C,0,0,1,0,1,0,0,1,0,0,1,1,50,75,,50,12,0,4.35,8.7,8.7,4.35,13.04,4.35
